epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.285,1.43649,2.22819,2.07698,0.00434,0.80525,0.01843,0.00365,2.75223,3.28309,2.15526,0.0700232,0.00333076,0.00333076
2,840.29,1.31093,2.03516,1.95617,0.78407,0.53392,0.54061,0.223,1.95973,2.36716,1.86626,0.0399572,0.00659812,0.00659812
3,1250.1,1.25107,1.96734,1.89998,0.5421,0.5733,0.46293,0.19165,1.79327,2.3695,1.68386,0.00982522,0.00979948,0.00979948
4,1663.95,1.20319,1.88984,1.85776,0.79232,0.55098,0.56918,0.28179,1.72096,2.06721,1.70979,0.009703,0.009703,0.009703
5,2072.87,1.18351,1.87765,1.84159,0.76994,0.52726,0.57657,0.3095,1.64256,2.1929,1.68439,0.009604,0.009604,0.009604
6,2481.46,1.15935,1.85192,1.81962,0.69215,0.55799,0.52334,0.26516,1.61114,2.14205,1.52368,0.009505,0.009505,0.009505
7,2894.24,1.13967,1.81618,1.79941,0.79512,0.54048,0.58325,0.31241,1.68981,1.97485,1.67273,0.009406,0.009406,0.009406
8,3304.45,1.13386,1.81828,1.79748,0.81934,0.57549,0.5877,0.34537,1.50975,2.01591,1.64441,0.009307,0.009307,0.009307
9,3713.45,1.10912,1.79051,1.7728,0.63054,0.59004,0.50516,0.27281,1.61045,2.09123,1.68445,0.009208,0.009208,0.009208
10,4128.17,1.10982,1.77006,1.77723,0.89196,0.57549,0.60504,0.34522,1.55708,1.97312,1.59243,0.009109,0.009109,0.009109
11,4555.03,1.09687,1.76569,1.76107,0.67118,0.59519,0.58263,0.3389,1.47643,2.01608,1.54194,0.00901,0.00901,0.00901
12,4983.63,1.09386,1.77656,1.7615,0.89814,0.58862,0.63078,0.37125,1.40788,1.95714,1.5458,0.008911,0.008911,0.008911
13,5407.96,1.06748,1.75121,1.73912,0.88322,0.5558,0.6168,0.3587,1.50402,1.89834,1.56035,0.008812,0.008812,0.008812
14,5835.99,1.06408,1.74497,1.73939,0.85865,0.57768,0.63283,0.36162,1.5333,1.91659,1.6334,0.008713,0.008713,0.008713
15,6265.67,1.06197,1.73316,1.73833,0.88351,0.59748,0.63762,0.37836,1.60292,1.89813,1.70663,0.008614,0.008614,0.008614
16,6703.68,1.05902,1.72539,1.73486,0.81577,0.55142,0.60797,0.34815,1.46111,1.85412,1.57213,0.008515,0.008515,0.008515
17,7133.61,1.04331,1.71247,1.71894,0.89282,0.57768,0.6114,0.3663,1.42053,1.86847,1.52322,0.008416,0.008416,0.008416
18,7562.94,nan,nan,nan,0.00022,0.00438,4e-05,1e-05,nan,nan,nan,0.008317,0.008317,0.008317
19,7996.2,nan,nan,nan,0.72566,0.53611,0.49528,0.20094,nan,nan,nan,0.008218,0.008218,0.008218
20,8422.77,nan,nan,nan,0.71652,0.53173,0.4938,0.20145,nan,nan,nan,0.008119,0.008119,0.008119
21,8847.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00802,0.00802,0.00802
22,9272.94,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007921,0.007921,0.007921
23,9693.75,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007822,0.007822,0.007822
24,10108.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007723,0.007723,0.007723
25,10520.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.007624,0.007624,0.007624
